county,city,type,website,drop,ballot,ballot_link,ballot_link_text,sorting county
Aroostook,Island Falls,election,https://www.islandfallsme.us/index.asp?SEC=0DE9ACC4-6892-4F43-A1D3-2E313D3EAB71,,,,,Aroostook
Aroostook,Limestone,town,http://www.limestonemaine.org/,,,,,Aroostook
Aroostook,Linneus,contact info,https://www.maine.gov/local/town.php?t=Linneus,,,,,Aroostook
Aroostook,Littleton,Facebook,https://www.facebook.com/pages/Littleton-Town-Office/1065409710159142,,,,,Aroostook
Aroostook,Ludlow,Facebook,https://www.facebook.com/pages/Ludlow-Town-Office/452966878460576,,,,,Aroostook
Aroostook,Macwahoc Plantation,contact info,https://www.maine.gov/local/town.php?t=Macwahoc%20Plt,,,,,Aroostook
Aroostook,Madawaska,town,http://townofmadawaska.com,,,,,Aroostook
Aroostook,Mapleton,town,https://www.mapleton.me/#,,,,,Aroostook
Aroostook,Mars Hill,election,https://marshillmaine.org/voter-election-information/,,,,,Aroostook
Aroostook,Masardis,contact info,https://www.maine.gov/local/town.php?t=Masardis,,,,,Aroostook
Aroostook,Merrill,town,https://merrill.aroostook.me.us/,,,,,Aroostook
Aroostook,Monticello,contact info,https://www.maine.gov/local/town.php?t=Monticello,,,,,Aroostook
Aroostook,Moro Plantation,contact info,https://www.maine.gov/local/town.php?t=Moro%20Plt,,,,,Aroostook
Aroostook,Nashville Plantation,election,https://www.townofportage.org/town-government/office-personnel/office-of-the-clerk.html,,,,,Aroostook
Aroostook,New Canada,contact info,https://www.maine.gov/local/town.php?t=New%20Canada,,,,,Aroostook
Aroostook,New Limerick,contact info,https://www.maine.gov/local/town.php?t=New%20Limerick,,,,,Aroostook
Aroostook,New Sweden,contact info,https://www.maine.gov/local/town.php?t=New%20Sweden,,,,,Aroostook
Aroostook,Oakfield,town,https://www.oakfieldme.org/,,,,,Aroostook
Aroostook,Orient,town,http://www.orientmaine.org/,,,,,Aroostook
Aroostook,Oxbow Plantation,contact info,https://www.maine.gov/local/town.php?t=Oxbow%20Plt,,,,,Aroostook
Aroostook,Perham,contact info,https://www.maine.gov/local/town.php?t=Perham,,,,,Aroostook
Aroostook,Portage Lake,election,https://www.townofportage.org/town-government/office-personnel/office-of-the-clerk.html,,,,,Aroostook
Aroostook,Presque Isle,election,http://presqueislemaine.gov/city-clerks-office/,,,,,Aroostook
Aroostook,Reed Plantation,contact info,https://www.maine.gov/local/town.php?t=Reed%20Plt,,,,,Aroostook
Aroostook,Sherman,contact info,https://www.maine.gov/local/town.php?t=Sherman,,,,,Aroostook
Aroostook,Smyrna,town,https://www.aroostook.me.us/smyrna/,,,,,Aroostook
Aroostook,St. Agatha,election,https://www.stagatha.com/news-events/town-elections.html,,,,,Aroostook
Aroostook,St. Francis,town,http://stfrancisme.com/,,,,,Aroostook
Aroostook,St. John Plantation,contact info,https://www.maine.gov/local/town.php?t=Saint%20John%20Plt,,,,,Aroostook
Aroostook,Stockholm,contact info,https://www.maine.gov/local/town.php?t=Stockholm,,,,,Aroostook
Aroostook,Van Buren,town,http://www.vanburenmaine.com/,,,,,Aroostook
Aroostook,Wade,contact info,https://www.maine.gov/local/town.php?t=Wade,,,,,Aroostook
Aroostook,Wallagrass,Facebook,https://www.facebook.com/townofwallagrass/,,,,,Aroostook
Aroostook,Washburn,election,https://www.washburnmaine.org/municipal-departments/elections-voting/,,,,,Aroostook
Aroostook,Westfield,contact info,https://www.maine.gov/local/town.php?t=Westfield,,,,,Aroostook
Aroostook,Westmanland,contact info,https://www.maine.gov/local/town.php?t=Westmanland,,,,,Aroostook
Aroostook,Weston,town,https://townofwestonnet.ipower.com/,,,,,Aroostook
Aroostook,Winterville Plantation,contact info,https://www.maine.gov/local/town.php?t=Winterville%20Plt,,,,,Aroostook
Aroostook,Woodland,town,https://www.townofwoodland.org/,,,,,Aroostook
Cumberland,Baldwin,town,https://www.baldwinmaine.org/,,School budget,,,Cumberland
Cumberland,Bridgton,election,https://bridgtonmaine.org/elections/,,"Selectman, planning board, school board, water district trustee, questions about ordinances and voting by ballot instead of town meeting",https://bridgtonmaine.org/elections/,Sample ballots,Cumberland
Cumberland,Brunswick,election,http://www.brunswickme.org/286/Elections,Town Hall - near front door,School budget,https://www.brunswickme.org/286/Elections,Sample ballots,Cumberland
Cumberland,Cape Elizabeth,election,https://www.capeelizabeth.com/departments/TownClerkOffice,,School budget,https://www.capeelizabeth.com/departments/TownClerkOffice/ElectionsVoting,Sample ballots,Cumberland
Cumberland,Casco,town,https://www.cascomaine.org/,,,,,Cumberland
Cumberland,Chebeague Island,town,https://www.townofchebeagueisland.org/index.asp?SEC=B2029461-C627-4F96-935B-2F581C655FFA&Type=B_BASIC,,,,,Cumberland
Cumberland,Cumberland,election,https://www.cumberlandmaine.com/election,,"School budget, school board",https://www.cumberlandmaine.com/election-information/pages/election-june-14-2022,Sample ballots,Cumberland
Cumberland,Falmouth,election,https://www.falmouthme.org/town-clerk/pages/election-information,"Town Hall - in the front, to left of the main entrance","Town council, school board, school budget",https://www.falmouthme.org/sites/g/files/vyhlif556/f/pages/6.14.22sampleballotmuni.pdf,Sample ballot,Cumberland
Cumberland,Freeport,election,https://www.freeportmaine.com/town-clerk/pages/election-services,Town Hall - outside the main entrance at 30 Main Street before Election Day. Ballots returned on Election Day must be returned in person to the high school gym at 30 Holbrook Street.,School budget,https://www.freeportmaine.com/town-clerk/pages/elections-and-voter-registration-services,Sample ballots,Cumberland
Cumberland,Frye Island,town,http://www.fryeisland.com/,,,,,Cumberland
Cumberland,Gorham,election,https://www.gorham-me.org/town-clerk/pages/election-voting-information,Municipal Center,,,,Cumberland
Cumberland,Gray,election,https://www.graymaine.org/elections,Town Hall - front door,,,,Cumberland
Cumberland,Harpswell,election,https://www.harpswell.maine.gov/index.asp?SEC=49346E07-DA84-4C68-BD02-EAC23C5B5A18&Type=B_BASIC,Town Office - in front,School budget,https://www.harpswell.maine.gov/vertical/Sites/%7B3F690C92-5208-4D62-BAFB-2559293F6CAE%7D/uploads/WARRANT_M.S.A.D._75_DISTRICT_BUDGET_MEETING.pdf,Warrant,Cumberland
Cumberland,Harrison,election,https://www.harrisonmaine.org/index.asp?SEC=4CAFBDBB-36BE-4517-948F-BA6571E11ADE&DE=84D5F5E9-5D93-49A4-8E88-3F66B3086CB6&Type=B_BASIC,,"Selectmen, planning board, appeals board, school board, school budget",https://www.harrisonmaine.org/index.asp?SEC=4CAFBDBB-36BE-4517-948F-BA6571E11ADE&DE=84D5F5E9-5D93-49A4-8E88-3F66B3086CB6&Type=B_BASIC,Sample ballots,Cumberland
Cumberland,Long Island,election,http://townoflongisland.us/wp/?page_id=181,,Town meeting May 14,https://townoflongisland.us/wp/wp-content/uploads/Town-Meeting/2022-Attested-Town-Meeting-Warrant-Articles.pdf,Town meeting warrant,Cumberland
Cumberland,Naples,town,https://www.townofnaples.org/index.asp?SEC=66A4DD28-4C0C-443B-876C-2D418D5B1EAB,,,,,Cumberland
Cumberland,New Gloucester,election,https://www.newgloucester.com/index.asp?Type=B_BASIC&SEC={AB7D0D21-9C89-4C15-9D6F-DE687764863E},,,,,Cumberland
Cumberland,North Yarmouth,election,https://www.northyarmouth.org/town-clerk/pages/elections-voter-registration,Town Office - inside,,,,Cumberland
Cumberland,Portland,election,https://www.portlandmaine.gov/325/Elections-Voting,Merrill Auditorium lobby,"School board, school budget",https://www.portlandmaine.gov/DocumentCenter/View/34396/June-14-2022-Sample-Ballot,Sample ballots,Cumberland
Cumberland,Pownal,election,https://www.pownalmaine.org/index.asp?Type=B_LIST&SEC={3290832E-1DCD-43A2-B2C3-331F9445751F},Town Office - inside,,,,Cumberland
Cumberland,Raymond,election,https://www.raymondmaine.org/town-office/voters/elections,,School budget,https://www.raymondmaine.org/town-office/voters/elections,Warrant,Cumberland
Cumberland,Scarborough,election,https://www.scarboroughmaine.org/departments/town-clerk/elections/,,"Town council, school budget",,,Cumberland
Cumberland,Sebago,town,https://www.townofsebago.org/,,School budget and town offices,https://www.townofsebago.org/home/news/town-and-school-election-warrants,Warrants,Cumberland
Cumberland,South Portland,election,https://www.southportland.org/departments/city-clerk/elections-voter-registration/,,School budget,https://www.harrisonmaine.org/index.asp?SEC=4CAFBDBB-36BE-4517-948F-BA6571E11ADE&DE=84D5F5E9-5D93-49A4-8E88-3F66B3086CB6&Type=B_BASIC,Sample ballot,Cumberland
Cumberland,Standish,election,https://www.standish.org/town-clerk/pages/election-general-information,,,,,Cumberland
