county,city,type,website,ballot,sorting county
,Abbot,Facebook,https://www.facebook.com/Town-of-Abbot-Maine-433075913559730/,,Piscataquis
,Atkinson,town,https://www.maine.gov/local/town.php?t=Atkinson,,Piscataquis
,Beaver Cove,town,http://www.beavercoveme.com/,,Piscataquis
,Bowerbank,town,http://bowerbank.trcmaine.org/,,Piscataquis
,Brownville,town,http://brownville.trcmaine.org/,,Piscataquis
,Dover-Foxcroft,town,http://www.dover-foxcroft.org/,,Piscataquis
,Greenville,town,http://www.greenvilleme.com/,,Piscataquis
,Guilford,town,https://townofguilford.com/,,Piscataquis
,Kingsbury Plantation,contact info,https://www.maine.gov/local/town.php?t=Kingsbury%20Plt,,Piscataquis
,Lake View Plantation,contact info,https://www.maine.gov/local/town.php?t=Lake%20View%20Plt,,Piscataquis
,Medford,town,http://medford.trcmaine.org/,,Piscataquis
,Milo,town,https://www.milomaine.org/,,Piscataquis
,Monson,town,http://monsonmaine.org/,,Piscataquis
,Parkman,town,http://parkmanmaine.com/,,Piscataquis
,Sangerville,town,https://sangervilleme.com/,,Piscataquis
,Sebec,town,http://sebec.trcmaine.org/,,Piscataquis
,Shirley,town,https://sites.google.com/site/townofshirleymaine/,,Piscataquis
,Wellington,contact info,https://www.maine.gov/local/town.php?t=Wellington,,Piscataquis
,Willimantic,contact info,https://www.maine.gov/local/town.php?t=Willimantic,,Piscataquis
Sagadahoc,,county,http://sagcounty.com/,,Sagadahoc
,Arrowsic,election,http://www.arrowsic.org/clerk_page.html#elections,,Sagadahoc
,Bowdoin,town,https://bowdoinme.com/,,Sagadahoc
,Bowdoinham,election,https://www.bowdoinham.com/department/elections,,Sagadahoc
,Georgetown,town,http://www.georgetownme.com/,,Sagadahoc
,Perkins Township (Swan Island),town,https://www.maine.gov/ifw/programs-resources/recreational-opportunities/swan-island/index.html,,Sagadahoc
,Phippsburg,town,https://phippsburg.com/,,Sagadahoc
,Richmond,town,http://www.richmondmaine.com/default.aspx,,Sagadahoc
,West Bath,election,https://www.westbath.org/index.asp?SEC=8D961DE8-3900-40C4-A383-E0D71EB1D163&Type=B_BASIC,,Sagadahoc
,Woolwich,town,http://www.woolwich.us/,,Sagadahoc
Somerset,,county,https://www.somersetcounty-me.org/,,Somerset
,Anson,town,https://ansonmaine.town/,,Somerset
,Athens,town,https://www.athens.maine.gov/,,Somerset
,Bingham,town,http://www.binghammaine.org/,,Somerset
,Brighton Plantation,contact info,https://www.maine.gov/local/town.php?t=Brighton%20Plt,,Somerset
,Cambridge,town,http://cambridgemaine.com/,,Somerset
,Caratunk,Facebook,https://www.facebook.com/caratunk/,,Somerset
,Cornville,contact info,https://www.maine.gov/local/town.php?t=Cornville,,Somerset
,Dennistown Plantation,contact info,https://www.maine.gov/local/town.php?t=Dennistown%20Plt,,Somerset
,Detroit,Facebook,https://www.facebook.com/TownofDetroitMaine/?rf=863282867033273,,Somerset
,Embden,town,http://embden.maine.gov/,,Somerset
,Harmony,Facebook,https://www.facebook.com/permalink.php?id=201376573099&story_fbid=10156041066013100,,Somerset
,Hartland,town,https://www.townofhartlandme.com/,,Somerset
,Highland Plantation,contact info,https://www.maine.gov/local/town.php?t=Highland%20Plt,,somerset
,Jackman,town,https://jackmanme.net,,Somerset
,Madison,town,http://www.madisonmaine.com/,,Somerset
,Mercer,town,https://mercerme.webs.com/,,Somerset
,Moose River,contact info,https://mercerme.webs.com/,,Somerset
,Moscow,town,http://home.myfairpoint.net/~DBeane,,Somerset
,New Portland,town,http://www.newportlandmaine.org,,Somerset
,Norridgewock,town,http://www.townofnorridgewock.com/,,Somerset
,Palmyra,town,http://www.palmyratown.org/Town_of_Palmyra/Welcome.html,,Somerset
,Pittsfield,town,http://www.pittsfield.org/,,Somerset
,Pleasant Ridge Plantation,contact info,https://www.maine.gov/local/town.php?t=Pleasant%20Ridge%20Plt,,Somerset
,Ripley,contact info,https://www.maine.gov/local/town.php?t=Pleasant%20Ridge%20Plt,,Somerset
,Skowhegan,election,https://www.skowhegan.org/148/Elections,,Somerset
,Smithfield,town,http://www.smithfieldmaine.us/,,Somerset
,Solon,town,https://solon.maine.gov/,,Somerset
,St. Albans,town,https://stalbansme.govoffice2.com/,,Somerset
,Starks,town,http://www.starksme.com/,,Somerset
,The Forks Plantation,contact info,https://www.maine.gov/local/town.php?t=The%20Forks%20Plt,,Somerset
,West Forks Plantation,contact info,https://www.maine.gov/local/town.php?t=West%20Forks%20Plt,,Somerset
Waldo,,county,https://www.waldocountyme.gov/,,Waldo
,Belfast,election,https://www.cityofbelfast.org/117/Voting-Information,,Waldo
,Belmont,town,https://belmontme.org/,,Waldo
,Brooks,election,https://brooks.govoffice2.com/index.asp?SEC=C5AE112D-6771-4883-A6B5-D64388CABDC6&Type=B_BASIC,,Waldo
,Burnham,town,https://www.freedomme.org/Ddata.htm,,Waldo
,Frankfort,election,https://www.frankfortme.com/town-office/elections-and-voting-annual-town-elections-meeting-state-elections-voter-registration-absentee-voting/,,Waldo
,Freedom,town,https://www.freedomme.org/Ddata.htm,,Waldo
,Islesboro,town,http://townofislesboro.com/town-office/,,Waldo
,Jackson,town,http://www.jacksonmaine.net/home,,Waldo
,Knox,town,http://knoxmaine.com/,,Waldo
,Liberty,town,http://www.libertymaine.us/,,Waldo
,Lincolnville,town,http://www.town.lincolnville.me.us/,,Waldo
,Monroe,town,https://townofmonroe.me/,,Waldo
,Montville,town,http://montvillemaine.org,,Waldo
,Morrill,town,https://www.morrillme.org/,,Waldo
,Northport,election,http://www.northportmaine.org/content/4094/Elections_and_Voter_Registrations/,,Waldo
,Palermo,election,http://www.townofpalermo.org/town-government/election-information,,Waldo
,Prospect,election,http://www.prospectmaine.org/elections---voting.html,,Waldo
,Searsmont,town,http://www.searsmont.com/,,Waldo
,Searsport,town,http://searsport.maine.gov/,,Waldo
,Stockton Springs,town,http://www.stocktonsprings.org/,,Waldo
,Swanville,town,https://sites.google.com/a/swanville.org/the-town-of-swanville/,,Waldo
,Thorndike,town,https://thorndikeme.com/,,Waldo
,Troy,town,https://troymainelocalnews.com/,,Waldo
,Unity,town,https://unityme.org/,,Waldo
,Waldo,town,http://www.townofwaldo.com/,,Waldo
,Winterport,town,https://www.winterportmaine.gov/,,Waldo
Washington,,county,http://washingtoncountymaine.com/,,Washington
,Addison,town,http://www.addisonmaine.org/,,Washington
,Alexander,town,http://www.alexandermaine.com/,,Washington
,Baileyville,town,http://baileyvillemaine.com/,,Washington
,Beals,contact info,https://www.maine.gov/local/town.php?t=Beals,,Washington
,Beddington,town,https://www.emainehosting.com/BeddingtonMaine/,,Washington
,Calais,election,https://www.calaismaine.org/voting/,,Washington
,Charlotte,contact info,https://www.maine.gov/local/town.php?t=Charlotte,,Washington
,Cherryfield,town,http://www.cherryfieldmaine.us/town-information/,,Washington
,Codyville Plantation,contact info,https://www.maine.gov/local/town.php?t=Codyville%20Plt,,Washington
,Columbia,Facebook,https://www.facebook.com/Columbia-Maine-750525565066405/,,Washington
,Columbia Falls,Facebook,https://www.facebook.com/columbiafallsme/,,Washington
,Cooper,election,https://www.coopermaine.com/elections.html,,Washington
,Crawford,contact info,https://www.maine.gov/local/town.php?t=Crawford,,Washington
,Cutler,town,https://www.cutlermaine.net/,,Washington
,Danforth,town,http://townofdanforthmaine.com/,,Washington
,Deblois,contact info,https://www.maine.gov/local/town.php?t=Deblois,,Washington
,Dennysville,contact info,https://www.maine.gov/local/town.php?t=Dennysville,,Washington
,East Machias,Facebook,https://www.facebook.com/eastmachias/,,Washington
,Eastport,election,https://www.eastport-me.gov/city-clerks-office/pages/elections-voting-information,,Washington
,Grand Lake Stream Plantation,contact info,https://www.maine.gov/local/town.php?t=Grand%20Lake%20Stream%20Plt,,Washington
,Harrington,town,https://www.harringtonmaine.com/,,Washington
,Indian Township Reservation,tribe,https://www.passamaquoddy.com/?page_id=24,,washington
,Jonesboro,Facebook,https://www.facebook.com/TownofJonesboroMaine/?rf=1693839290858783,,Washington
,Jonesport,election,https://www.townofjonesport.com/office/voter-info.php,,Washington
,Lubec,town,https://townoflubec.com/,,Washington
,Machias,election,https://machiasme.org/departments-staff/town-clerk/election-services/,,Washington
,Machiasport,town,https://machiasport.org/,,Washington
,Marshfield,town,https://www.marshfieldme.org/,,Washington
,Meddybemps,contact info,https://www.maine.gov/local/town.php?t=Meddybemps,,Washington
,Milbridge,town,https://townofmilbridge.webs.com/,,Washington
,Northfield,contact info,https://www.maine.gov/local/town.php?t=Northfield,,Washington
,Pembroke,town,http://www.pembrokemaine.org/,,Washington
,Perry,town,http://www.perrymaine.org,,Washington
,Pleasant Point Reservation,tribe,https://www.passamaquoddy.com/?page_id=24,,Washington
,Princeton,Facebook,https://www.facebook.com/PrincetonMaine/,,Washington
,Robbinston,town,http://townofrobbinston.org/,,Washington
,Roque Bluffs,town,https://www.maine.gov/local/town.php?t=Roque%20Bluffs,,Washington
,Steuben,town,http://steubenme.com/,,Washington
,Talmadge,town,http://talmadge.me/,,Washington
,Topsfield,contact info,https://www.maine.gov/local/town.php?t=Topsfield,,Washington
,Vanceboro,contact info,https://www.maine.gov/local/town.php?t=Vanceboro,,Washington
,Waite,Facebook,https://www.facebook.com/townofwaiteme/,,Washington
,Wesley,town,http://sites.google.com/site/wesleyevents/wesley-community-events,,Washington
,Whiting,town,https://www.facebook.com/townofwaiteme/,,Washington
,Whitneyville,town,http://www.whitneyvilleme.com,,Washington
York,,county,https://www.yorkcountymaine.gov/,,York
,Acton,election,http://www.actonmaine.org/WarrantsElectionResults.cfm,,York
,Alfred,town,http://www.alfredme.us/,,York
,Arundel,town,http://www.arundelmaine.org,,York
,Buxton,town,http://www.buxton.me.us/,,York
,Cornish,town,http://cornishme.com,,York
,Dayton,town,http://www.dayton-me.gov,,York
,Eliot,town,http://www.eliotmaine.org,,York
,Limerick,town,http://www.limerickme.org/index.html,,York
,Limington,town,http://www.limington.net/,Questions about zoning and subdivision ordinances,York
,Lyman,town,http://www.lyman-me.gov/,,York
,Newfield,election,https://newfieldme.org/departments/registrar-of-voters/,,York
,North Berwick,town,http://www.townofnorthberwick.org/,,York
,Ogunquit,town,http://www.townofogunquit.org,"Select board, town review committee, questions about a charter commission, recalling elected officials, transferring funds for an over expenditure, transferring funds for erosion control, and reconstruction and expansion of the main beach bathouse and lifeguard station",York
,Parsonsfield,town,http://www.parsonsfield.org/,,York
,Shapleigh,town,http://www.shapleigh.net,,York
,York,town,http://www.yorkmaine.org/,,York
,Roque Bluffs,town,https://www.maine.gov/local/town.php?t=Roque%20Bluffs,,Washington
,Steuben,town,http://steubenme.com/,,Washington
,Talmadge,town,http://talmadge.me/,,Washington
,Topsfield,contact info,https://www.maine.gov/local/town.php?t=Topsfield,,Washington
,Vanceboro,contact info,https://www.maine.gov/local/town.php?t=Vanceboro,,Washington
,Waite,Facebook,https://www.facebook.com/townofwaiteme/,,Washington
,Wesley,town,http://sites.google.com/site/wesleyevents/wesley-community-events,,Washington
,Whiting,town,https://www.facebook.com/townofwaiteme/,,Washington
,Whitneyville,town,http://www.whitneyvilleme.com,,Washington
York,,county,https://www.yorkcountymaine.gov/,,York
,Acton,election,http://www.actonmaine.org/WarrantsElectionResults.cfm,,York
,Alfred,town,http://www.alfredme.us/,,York
,Arundel,town,http://www.arundelmaine.org,,York
,Berwick,election,https://www.berwickmaine.org/government/town_clerk/elections.php,"Questions about fire department apparatus and vehicles, replacing street lights with LEDs, federal financing, budget matching funds, and library trustees",York
,Biddeford,election,https://www.biddefordmaine.org/2923/November-5-2019-General-Election-Informa,"Mayor, city council, school committee, warden and ward clerk",York
,Buxton,town,http://www.buxton.me.us/,,York
,Cornish,town,http://cornishme.com,,York
,Dayton,town,http://www.dayton-me.gov,,York
,Eliot,town,http://www.eliotmaine.org,,York
,Hollis,election,https://www.hollismaine.org/town-clerk,"Tax collector, zoning ordnance, finance committee ordinance",York
,Kennebunk,election,https://www.kennebunkmaine.us/444/Election-and-Town-Meeting-Information,"Questions about purchasing property, emergency services, and making Higgins Drive and Flagship Circle town ways",York
,Kennebunkport,election,https://www.kennebunkportme.gov/town-clerk/pages/elections-and-voting,Selectman,York
,Kittery,election,http://www.kitteryme.gov/town-clerk/pages/voting-elections,"Town council, school committee, library expansion",York
,Lebanon,election,https://www.lebanon-me.org/home/urgent-alerts/information-november-5th-2019-election,Questions about state run agency liquor stores and amendments to the board of appeals ordinance,York
,Limerick,town,http://www.limerickme.org/index.html,,York
,Limington,town,http://www.limington.net/,Questions about zoning and subdivision ordinances,York
,Lyman,town,http://www.lyman-me.gov/,,York
,Newfield,election,https://newfieldme.org/departments/registrar-of-voters/,,York
,North Berwick,town,http://www.townofnorthberwick.org/,,York
,Ogunquit,town,http://www.townofogunquit.org,"Select board, town review committee, questions about a charter commission, recalling elected officials, transferring funds for an over expenditure, transferring funds for erosion control, and reconstruction and expansion of the main beach bathouse and lifeguard station",York
,Old Orchard Beach,election,https://www.oobmaine.com/town-clerk/pages/2019-elections,"Town council, school board",York
,Parsonsfield,town,http://www.parsonsfield.org/,,York
,Saco,election,https://www.sacomaine.org/departments/city_clerk/elections_and_voting.php,"Mayor, city council, warden, ward clerk, charter amendments about posting, borrowing, and term limits",York
,Sanford,election,https://www.sanfordmaine.org/electioninfo,"City council, school committee, water district trustee, sewerage district trustee, bond question about road reconstruction, bond question to acquire and develop land for a new fire station, bond question about improving school buildings",York
,Shapleigh,town,http://www.shapleigh.net,,York
,South Berwick,election,http://www.southberwickmaine.org/departments/town_clerk/clerk/sample_ballots.php,"Town council, school district director",York
,Waterboro,election,http://www.waterboro-me.gov/information_center/index.php#elections,Question about an ATV ordinance,York
,Wells,election,http://www.wellstown.org/440/Town-Meeting-Election-Info,Question about comprehensive plan updates,York
,York,town,http://www.yorkmaine.org/,,York
