county,city,type,website,drop,ballot,ballot_link,ballot_link_text,sorting_county
Androscoggin,Auburn,election,http://www.auburnmaine.gov/pages/government/election-and-voting,,"Mayor, city council, school committee",https://www.auburnmaine.gov/pages/government/election-and-voting,Sample ballots,Androscoggin
Androscoggin,Durham,election,https://www.durhamme.com/election-information,,,,,Androscoggin
Androscoggin,Greene,contact info,https://www.maine.gov/local/town.php?t=Greene,,,,,Androscoggin
Androscoggin,Leeds,town,https://sites.google.com/site/townofleedsmaine/,,,,,Androscoggin
Androscoggin,Lewiston,election,https://www.lewistonmaine.gov/117/Elections,City Hall - Park Street entrance door,"Mayor, city council, school committee",https://www.lewistonmaine.gov/117/Elections,Sample ballots,Androscoggin
Androscoggin,Lisbon,election,https://www.lisbonme.org/election-information,,,,,Androscoggin
Androscoggin,Livermore,town,http://livermoremaine.org/,,,,,Androscoggin
Androscoggin,Livermore Falls,town,http://lfme.org/,,,,,Androscoggin
Androscoggin,Mechanic Falls,town,https://mechanicfalls.govoffice.com/,,,,,Androscoggin
Androscoggin,Minot,election,https://minotme.org/index.asp?SEC=8CA67442-D60D-4CCD-B5C0-F0C162FD0658&DE=3DD12AA1-1B1B-4844-AB38-AD2EA80C2324,Town hall main entrance,,,,Androscoggin
Androscoggin,Poland,town,https://www.polandtownoffice.org/,,,,,Androscoggin
Androscoggin,Sabattus,town,https://www.sabattus.org/,,,,,Androscoggin
Androscoggin,Turner,town,https://www.turnermaine.com/,,,,,Androscoggin
Androscoggin,Wales,town,http://walesmaine.org/,,,,,Androscoggin
Aroostook,Allagash,town,http://www.aroostook.me.us/allagash/,,,,,Aroostook
Aroostook,Amity,town,http://townofamity.com/,,,,,Aroostook
Aroostook,Ashland,town,http://townofashland.org/,,,,,Aroostook
Aroostook,Bancroft,contact info,https://www.maine.gov/local/town.php?t=Bancroft,,,,,Aroostook
Aroostook,Blaine,contact info,https://www.maine.gov/local/town.php?t=Blaine,,,,,Aroostook
Aroostook,Bridgewater,Facebook,https://www.facebook.com/bridgewatermaine/,,,,,Aroostook
Aroostook,Caribou,election,http://www.cariboumaine.org/index.php/departments/city-clerk/elections/,,,,,Aroostook
