county,city,type,website,drop,ballot,ballot_link,ballot_link_text,sorting_county
Aroostook,Sherman,contact info,http://mainegov-images.informe.org/local/town.php?t=Sherman,,,,,Aroostook
Aroostook,Smyrna,town,https://smyrna.aroostook.me.us/,,,,,Aroostook
Aroostook,St. Agatha,election,https://www.stagatha.com/news-events/town-elections.html,,,,,Aroostook
Aroostook,St. Francis,town,http://stfrancisme.com/,,,,,Aroostook
Aroostook,St. John Plantation,contact info,http://mainegov-images.informe.org/local/town.php?t=Saint%20John%20Plt,,,,,Aroostook
Aroostook,Stockholm,contact info,http://mainegov-images.informe.org/local/town.php?t=Stockholm,,,,,Aroostook
Aroostook,Van Buren,town,https://www.vanburenmaine.com/,,,,,Aroostook
Aroostook,Wade,town,https://www.washburnmaine.org/town-of-wade/,,,,,Aroostook
Aroostook,Wallagrass,Facebook,https://www.facebook.com/townofwallagrass/,,,,,Aroostook
Aroostook,Washburn,election,https://www.washburnmaine.org/municipal-departments/elections-voting/,,,,,Aroostook
Aroostook,Westfield,contact info,http://mainegov-images.informe.org/local/town.php?t=Westfield,,,,,Aroostook
Aroostook,Westmanland,contact info,http://mainegov-images.informe.org/local/town.php?t=Westmanland,,,,,Aroostook
Aroostook,Weston,town,https://townofwestonnet.ipower.com/,,,,,Aroostook
Aroostook,Winterville Plantation,contact info,http://mainegov-images.informe.org/local/town.php?t=Winterville%20Plt,,,,,Aroostook
Aroostook,Woodland,town,https://www.townofwoodland.org/,,,,,Aroostook
Cumberland,Baldwin,town,https://www.baldwinmaine.org/,,,,,Cumberland
Cumberland,Bridgton,election,https://bridgtonmaine.org/elections/,,,,,Cumberland
Cumberland,Brunswick,election,https://www.brunswickme.gov/286/Elections,Town Hall - near front door,,,,Cumberland
Cumberland,Cape Elizabeth,election,https://www.capeelizabeth.com/departments/TownClerkOffice/ElectionsVoting,,,,,Cumberland
Cumberland,Casco,town,https://www.cascomaine.org/,,,,,Cumberland
Cumberland,Chebeague Island,town,https://www.townofchebeagueisland.org/index.asp?SEC=B2029461-C627-4F96-935B-2F581C655FFA&Type=B_BASIC,,,,,Cumberland
Cumberland,Cumberland,election,https://www.cumberlandmaine.com/election,,,,,Cumberland
Cumberland,Falmouth,election,https://www.falmouthme.org/town-clerk/pages/election-information,"Town Hall - in the front, to left of the main entrance",,,,Cumberland
Cumberland,Freeport,election,https://www.freeportmaine.com/231/Elections-Voter-Registration-Services,Town Hall - outside the main entrance at 30 Main Street before Election Day. Ballots returned on Election Day must be returned in person to the high school gym at 30 Holbrook Street.,,,,Cumberland
Cumberland,Frye Island,town,https://www.fryeislandtown.org/,,,,,Cumberland
Cumberland,Gorham,election,https://www.gorham-me.org/town-clerk/pages/election-voting-information,Municipal Center,,,,Cumberland
Cumberland,Gray,election,https://www.graymaine.org/elections,Town Hall - front door,,,,Cumberland
Cumberland,Harpswell,election,https://www.harpswell.maine.gov/index.asp?SEC=49346E07-DA84-4C68-BD02-EAC23C5B5A18&Type=B_BASIC,Town Office - in front,,,,Cumberland
Cumberland,Harrison,election,https://www.harrisonmaine.org/index.asp?SEC=4CAFBDBB-36BE-4517-948F-BA6571E11ADE&DE=84D5F5E9-5D93-49A4-8E88-3F66B3086CB6&Type=B_BASIC,,,,,Cumberland
Cumberland,Long Island,election,https://townoflongisland.us/wp/?page_id=181,,,,,Cumberland
Cumberland,Naples,town,https://www.townofnaples.org/index.asp?SEC=66A4DD28-4C0C-443B-876C-2D418D5B1EAB,,,,,Cumberland
Cumberland,New Gloucester,election,https://www.newgloucester.com/index.asp?Type=B_BASIC&SEC={AB7D0D21-9C89-4C15-9D6F-DE687764863E},,,,,Cumberland
Cumberland,North Yarmouth,election,https://www.northyarmouth.org/town-clerk/pages/elections-voter-registration,Town Office - inside,,,,Cumberland
Cumberland,Portland,election,https://www.portlandmaine.gov/172/Elections-Voting,Merrill Auditorium lobby,,,,Cumberland
Cumberland,Pownal,election,https://www.pownalmaine.org/index.asp?Type=B_LIST&SEC={3290832E-1DCD-43A2-B2C3-331F9445751F},Town Office - inside,,,,Cumberland
Cumberland,Raymond,election,https://www.raymondmaine.org/town-office/voters/elections,,,,,Cumberland
Cumberland,Scarborough,election,https://www.scarboroughmaine.org/departments/town-clerk/elections/,,,,,Cumberland
Cumberland,Sebago,town,https://www.townofsebago.org/,,,,,Cumberland
Cumberland,South Portland,election,https://www.southportland.org/departments/city-clerk/elections-voter-registration/,,,,,Cumberland
Cumberland,Standish,election,https://www.standish.org/town-clerk/pages/election-general-information,,,,,Cumberland
Cumberland,Westbrook,election,https://www.westbrookmaine.com/181/Elections-Voting,In front of City Hall at 2 York Street,,,,Cumberland
Cumberland,Windham,election,https://www.windhammaine.us/125/Voter-Information,,,,,Cumberland
Cumberland,Yarmouth,election,https://yarmouth.me.us/elections,Town Hall or Voting Place - inside,,,,Cumberland
Franklin,Avon,contact info,http://mainegov-images.informe.org/local/town.php?t=Avon,,,,,Franklin
Franklin,Carrabassett Valley,town,https://www.carrabassettvalley.org/,,,,,Franklin
Franklin,Carthage,contact info,http://mainegov-images.informe.org/local/town.php?t=Carthage,,,,,Franklin
Franklin,Chesterville,town,https://www.townofchesterville.me/,,,,,Franklin
Franklin,Coplin Plantation,town,https://www.coplinplantation.maine.gov/,,,,,Franklin
Franklin,Dallas Plantation,election,https://dallasplantation.com/government/voter-registration/,,,,,Franklin
Franklin,Eustis,election,https://eustismaine.org/departments/registrar-of-voters/,,,,,Franklin
Franklin,Farmington,election,https://www.farmington-maine.org/voting-and-elections,,,,,Franklin
Franklin,Industry,town,https://www.townofindustry.com/,,,,,Franklin
Franklin,Jay,town,https://www.jay-maine.org/,,,,,Franklin
Franklin,Kingfield,election,https://www.kingfield.me/1005-2/,,,,,Franklin
Franklin,New Sharon,town,https://www.newsharon.maine.gov/,,,,,Franklin
Franklin,New Vineyard,town,https://www.newvineyardme.org/,,,,,Franklin
Franklin,Phillips,town,https://phillipsmaine.com/,,,,,Franklin
Franklin,Rangeley,election,https://townofrangeley.com/185/Elections-Voter-Registration,,,,,Franklin
Franklin,Rangeley Plantation,contact info,http://mainegov-images.informe.org/local/town.php?t=Rangeley%20Plt,,,,,Franklin
Franklin,Sandy River Plantation,contact info,http://mainegov-images.informe.org/local/town.php?t=Sandy%20River%20Plt,,,,,Franklin
Franklin,Strong,town,https://strong-maine.com/,,,,,Franklin
Franklin,Temple,town,https://townoftemple.org/?fbclid=IwAR3pyJXsu2LQvxIpDx2paoXqPwlFMHMfraJdB9IMHMspf1bhzCWqyWkeaqo,,,,,Franklin
Franklin,Weld,town,https://www.weld-maine.org/,,,,,Franklin
Franklin,Wilton,town,https://wiltonmaine.org/,,,,,Franklin
Hancock,Amherst,town,https://www.amherstme.com/,,,,,Hancock
Hancock,Aurora,contact info,http://mainegov-images.informe.org/local/town.php?t=Aurora,,,,,Hancock
Hancock,Bar Harbor,election,https://www.barharbormaine.gov/130/Elections---General-Info,,,,,Hancock
Hancock,Blue Hill,election,https://bluehillme.gov/town-services/clerk-services/elections-voting/,,,,,Hancock
Hancock,Brooklin,town,https://www.brooklinmaine.com/,,,,,Hancock
Hancock,Brooksville,town,https://www.brooksvillemaine.org/,,,,,Hancock
Hancock,Bucksport,election,https://www.bucksportmaine.gov/services/clerk___registrar_of_voters/elections.php,,,,,Hancock
Hancock,Castine,town,https://castine.me.us/,Front doors of Emerson Hall,,,,Hancock
Hancock,Cranberry Isles,town,https://www.cranberryisles-me.gov/,,,,,Hancock
Hancock,Dedham,election,https://www.dedhamme.org/index.asp?SEC=F6196C83-D62F-40DC-BF35-13F815190E14&Type=B_BASIC,,,,,Hancock
Hancock,Deer Isle,town,https://www.townofdeerisle.org/,Town Office,,,,Hancock
Hancock,Eastbrook,town,https://www.eastbrookme.com/,,,,,Hancock
Hancock,Ellsworth,election,https://www.ellsworthmaine.gov/elections/,Church Street entrance lobby of City Hall,,,,Hancock
Hancock,Fletcher's Landing Township,election,https://www.ellsworthmaine.gov/elections/,Church Street entrance lobby of City Hall,,,,Hancock
Hancock,Franklin,town,https://www.franklinmaine.com/site/,,,,,Hancock
Hancock,Frenchboro,town,https://frenchboro.maine.gov/,,,,,Hancock
Hancock,Gouldsboro,town,https://www.gouldsborotown.com/,,,,,Hancock
Hancock,Great Pond,town,https://www.hcpcme.org/greatpond/index.htm,,,,,Hancock
Hancock,Hancock,election,https://hancockmaine.org,,,,,Hancock
Hancock,Lamoine,town,https://www.lamoine-me.gov/,,,,,Hancock
Hancock,Mariaville,town,https://www.mariavilleme.gov/,,,,,Hancock
Hancock,Mount Desert,election,https://www.mtdesert.org/town-clerk/pages/elections-voting,,,,,Hancock
Hancock,Orland,town,https://townoforland.org/election-information/,,,,,Hancock
Hancock,Osborn,town,https://www.osbornmaine.org/,,,,,Hancock
Hancock,Otis,town,https://townofotis.com/,,,,,Hancock
Hancock,Penobscot,town,https://penobscotmaine.org/,,,,,Hancock
Hancock,Sedgwick,contact info,http://mainegov-images.informe.org/local/town.php?t=Sedgwick,,,,,Hancock
Hancock,Sorrento,contact info,http://mainegov-images.informe.org/local/town.php?t=Sorrento,,,,,Hancock
Hancock,Southwest Harbor,town,http://www.southwestharbormaine.org/,,,,,Hancock
Hancock,Stonington,town,https://www.stoningtonmaine.org/,,,,,Hancock
Hancock,Sullivan,town,https://sullivanmaine.org/,,,,,Hancock
Hancock,Surry,election,https://www.townofsurrymaine.com/departments/elections/index.php,,,,,Hancock
Hancock,Swans Island,town,https://www.swansisland.org/,,,,,Hancock
Hancock,Tremont,town,https://tremont.maine.gov/,,,,,Hancock
Hancock,Trenton,town,https://www.trentonme.com/,,,,,Hancock
Hancock,Verona Island,town,http://www.veroname.org/,,,,,Hancock
Hancock,Waltham,contact info,http://mainegov-images.informe.org/local/town.php?t=Waltham,,,,,Hancock
Hancock,Winter Harbor,town,https://winterharbortown.com/,,,,,Hancock
Kennebec,Albion,town,https://townofalbionmaine.com/,,,,,Kennebec
Kennebec,Augusta,election,https://www.augustamaine.gov/elections,,,,,Kennebec
Kennebec,Belgrade,election,https://www.townofbelgrade.com/voterregistration,Town Office,,,,Kennebec
Kennebec,Benton,election,https://www.bentonmaine.info/elections,,,,,Kennebec
Kennebec,Chelsea,town,https://chelseamaine.org/,,,,,Kennebec
Kennebec,China,election,https://chinamaine.org/departments/administration/town-clerk/elections,,,,,Kennebec
Kennebec,Clinton,town,https://www.clinton-me.us/,,,,,Kennebec
Kennebec,Farmingdale,election,https://www.farmingdalemaine.org/index.asp?SEC=645DE9BE-E94D-4525-BF14-931B69726E98&Type=B_BASIC,,,,,Kennebec
Kennebec,Fayette,town,https://www.fayettemaine.org/,,,,,Kennebec
Kennebec,Gardiner,election,https://www.gardinermaine.gov/Resident/Voting-Elections,"Outside the door to City Hall, facing the parking lot",,,,Kennebec
Kennebec,Hallowell,election,https://hallowell.govoffice.com/index.asp?Type=B_BASIC&SEC=%7B49BCD9B5-12A8-43C1-96FA-2F515E9100E9%7D,,,,,Kennebec
Kennebec,Litchfield,election,https://www.litchfieldmaine.org/town-government/town-meeting/,,,,,Kennebec
Kennebec,Manchester,election,https://www.manchesterme.org/town-clerk,,,,,Kennebec
Kennebec,Monmouth,town,https://monmouthmaine.gov/,,,,,Kennebec
Kennebec,Mount Vernon,town,https://www.mtvernonme.org/,,,,,Kennebec
Kennebec,Oakland,town,https://www.oaklandmaine.us/,,,,,Kennebec
Kennebec,Pittston,town,https://www.pittsfieldmaine.gov/,,,,,Kennebec
Kennebec,Randolph,election,https://www.randolphmaine.org/index.asp?SEC=0D417703-B12A-45DC-93E0-C12009065FCB&Type=B_BASIC,,,,,Kennebec
Kennebec,Readfield,election,https://www.readfieldmaine.org/votingelectionstown-mtg/pages/voting-information,,,,,Kennebec
Kennebec,Rome,election,https://www.romemaine.com/town-clerk-registrar,,,,,Kennebec
Kennebec,Sidney,town,https://www.sidneymaine.org/,,,,,Kennebec
Kennebec,Vassalboro,town,https://vassalboro.net/,,,,,Kennebec
Kennebec,Vienna,town,https://www.viennamaine.org/,,,,,Kennebec
Kennebec,Waterville,election,https://www.waterville-me.gov/192/General-Election-Information,,,,,Kennebec
Kennebec,Wayne,election,https://www.waynemaine.org/pages/elections,,,,,Kennebec
Kennebec,West Gardiner,election,https://www.westgardinermaine.org/index.asp?SEC=0179D3F9-2CBC-49BF-890C-7999303630A9&Type=B_BASIC,,,,,Kennebec
Kennebec,Windsor,town,https://windsor.maine.gov/,,,,,Kennebec
Kennebec,Winslow,election,https://www.winslow-me.gov/departments/town_clerk/elections___voting/index.php,,,,,Kennebec
Kennebec,Winthrop,election,https://www.winthropmaine.org/town-clerk/pages/voting-election-information,Town Office at 17 Highland Avenue,,,,Kennebec
Knox,Appleton,town,https://appleton.maine.gov/,,,,,Knox
Knox,Camden,election,https://www.camdenmaine.gov/departments/town_clerk/departments/town_clerk/index.php,"Entrance door of Camden Town Office, 29 Elm Street",,,,Knox
Knox,Cushing,town,https://www.cushing.maine.gov/,,,,,Knox
Knox,Friendship,town,https://friendship.maine.gov/,,,,,Knox
Knox,Hope,town,https://hopemaine.org/,,,,,Knox
Knox,Isle Au Haut,town,https://www.isleauhautmaine.us/,,,,,Knox
Knox,Matinicus Isle Plantation,town,https://matinicusplantation.com/election-information/,,,,,Knox
Knox,North Haven,town,https://www.northhavenmaine.org/,,,,,Knox
Knox,Owls Head,town,https://www.owlshead.maine.gov/,,,,,Knox
Knox,Rockland,election,https://rocklandmaine.gov/municipal/departments/clerks-office/voting/,,,,,Knox
Knox,Rockport,election,https://rockportmaine.gov/elections,,,,,Knox
Knox,South Thomaston,town,https://souththomaston.me/voting-and-elections/,,,,,Knox
Knox,St. George,election,https://www.stgeorgemaine.com/page/elections,,,,,Knox
Knox,Thomaston,town,https://thomastonmaine.gov/index.asp?SEC=126CAC0D-8642-4F02-8010-5BB0C1D51B6A,,,,,Knox
Knox,Union,election,https://www.union.maine.gov/index.asp?SEC=0CE95965-3E88-49A6-8457-30093F663D27&Type=B_BASIC,,,,,Knox
Knox,Vinalhaven,town,https://www.townofvinalhaven.org/,,,,,Knox
Knox,Warren,election,https://warrenmaine.org/index.asp?SEC=9A16E126-423D-4173-BA38-89BF24884BF9,,,,,Knox
Knox,Washington,town,https://www.washington.maine.gov/,,,,,Knox
Lincoln,Alna,town,https://www.alna.maine.gov/,,,,,Lincoln
Lincoln,Boothbay,town,https://www.townofboothbay.org/,,,,,Lincoln
Lincoln,Boothbay Harbor,town,https://www.boothbayharbor.org/,,,,,Lincoln
Lincoln,Bremen,town,https://www.bremenmaine.org/,,,,,Lincoln
