county,city,type,website,drop,ballot,ballot_link,ballot_link_text,sorting county
,Van Buren,town,http://www.vanburenmaine.com/,,,,,Aroostook
,Wade,contact info,https://www.maine.gov/local/town.php?t=Wade,,,,,Aroostook
,Wallagrass,Facebook,https://www.facebook.com/townofwallagrass/,,,,,Aroostook
,Washburn,election,https://www.washburnmaine.org/municipal-departments/elections-voting/,,,,,Aroostook
,Westfield,contact info,https://www.maine.gov/local/town.php?t=Westfield,,,,,Aroostook
,Westmanland,contact info,https://www.maine.gov/local/town.php?t=Westmanland,,,,,Aroostook
,Weston,town,https://townofwestonnet.ipower.com/,,,,,Aroostook
,Winterville Plantation,contact info,https://www.maine.gov/local/town.php?t=Winterville%20Plt,,,,,Aroostook
,Woodland,town,https://www.townofwoodland.org/,,,,,Aroostook
Cumberland,,county,http://www.cumberlandcounty.org/,,,,,Cumberland
,Baldwin,town,https://www.baldwinmaine.org/,,,,,Cumberland
,Bridgton,election,https://bridgtonmaine.org/elections/,,,,,Cumberland
,Brunswick,election,http://www.brunswickme.org/286/Elections,Town Hall - near front door,,,,Cumberland
,Cape Elizabeth,election,https://www.capeelizabeth.com/departments/TownClerkOffice,,,,,Cumberland
,Casco,town,https://cascomaine.org/town_office.htm,,,,,Cumberland
,Chebeague Island,town,https://www.townofchebeagueisland.org/,,,,,Cumberland
,Cumberland,election,https://www.cumberlandmaine.com/election,,,,,Cumberland
,Falmouth,election,https://www.falmouthme.org/town-clerk/pages/election-information,,,,,Cumberland
,Freeport,election,https://www.freeportmaine.com/town-clerk/pages/election-services,Town Hall - outside the main entrance at 30 Main Street before Election Day. Ballots returned on Election Day must be returned in person to the high school gym at 30 Holbrook Street.,,,,Cumberland
,Frye Island,town,http://www.fryeisland.com/,,,,,Cumberland
,Gorham,election,https://www.gorham-me.org/town-clerk/pages/annual-municipal-election,Municipal Center,,,,Cumberland
,Gray,election,https://www.graymaine.org/elections,,,,,Cumberland
,Harpswell,election,https://www.harpswell.maine.gov/index.asp?SEC=49346E07-DA84-4C68-BD02-EAC23C5B5A18&Type=B_BASIC,Town Office - in front,,,,Cumberland
,Harrison,election,https://www.harrisonmaine.org/index.asp?SEC=4CAFBDBB-36BE-4517-948F-BA6571E11ADE&DE=84D5F5E9-5D93-49A4-8E88-3F66B3086CB6&Type=B_BASIC,,,,,Cumberland
,Long Island,election,http://townoflongisland.us/wp/?page_id=181,,,,,Cumberland
,Naples,town,https://www.townofnaples.org/,,,,,Cumberland
,New Gloucester,election,https://www.newgloucester.com/index.asp?Type=B_BASIC&SEC={AB7D0D21-9C89-4C15-9D6F-DE687764863E},,,,,Cumberland
,North Yarmouth,election,https://www.northyarmouth.org/town-clerk/pages/elections-voter-registration,Town Office - inside,,,,Cumberland
,Portland,election,https://www.portlandmaine.gov/325/Elections-Voting,Merrill Auditorium lobby,,,,Cumberland
,Pownal,election,https://www.pownalmaine.org/index.asp?Type=B_LIST&SEC={3290832E-1DCD-43A2-B2C3-331F9445751F},Town Office - outside,,,,Cumberland
,Raymond,election,https://www.raymondmaine.org/town-office/voters/elections,,,,,Cumberland
,Scarborough,election,https://www.scarboroughmaine.org/departments/town-clerk/elections/,,,,,Cumberland
,Sebago,town,https://www.townofsebago.org/,,,,,Cumberland
,South Portland,election,https://www.southportland.org/departments/city-clerk/november-3-2015-election,,,,,Cumberland
,Standish,election,https://www.standish.org/town-clerk/pages/election-general-information,,,,,Cumberland
,Westbrook,election,https://www.westbrookmaine.com/181/Elections-Voting,In front of City Hall at 2 York Street,,,,Cumberland
,Windham,election,http://www.windhammaine.us/125/Voter-Information,,,,,Cumberland
,Yarmouth,election,https://yarmouth.me.us/elections,,,,,Cumberland
Franklin,,county,https://www.franklincounty.maine.gov/,,,,,Franklin
,Avon,contact info,https://www.maine.gov/local/town.php?t=Avon,,,,,Franklin
,Carrabassett Valley,town,http://www.carrabassettvalley.org/,,,,,Franklin
,Carthage,contact info,https://www.maine.gov/local/town.php?t=Carthage,,,,,Franklin
,Chesterville,town,https://www.townofchesterville.me/,,,,,Franklin
,Coplin Plantation,contact info,https://www.maine.gov/local/town.php?t=Coplin%20Plt,,,,,Franklin
,Dallas Plantation,town,https://www.dallasplantation.com/,,,,,Franklin
,Eustis,election,https://eustismaine.org/departments/registrar-of-voters/,,,,,Franklin
