county,city,type,website,drop,ballot,ballot_link,ballot_link_text,sorting county
Aroostook,Sherman,contact info,https://www.maine.gov/local/town.php?t=Sherman,,,,,Aroostook
Aroostook,Smyrna,town,https://www.aroostook.me.us/smyrna/,,,,,Aroostook
Aroostook,St. Agatha,election,https://www.stagatha.com/news-events/town-elections.html,,,,,Aroostook
Aroostook,St. Francis,town,http://stfrancisme.com/,,,,,Aroostook
Aroostook,St. John Plantation,contact info,https://www.maine.gov/local/town.php?t=Saint%20John%20Plt,,,,,Aroostook
Aroostook,Stockholm,contact info,https://www.maine.gov/local/town.php?t=Stockholm,,,,,Aroostook
Aroostook,Van Buren,town,http://www.vanburenmaine.com/,,,,,Aroostook
Aroostook,Wade,contact info,https://www.maine.gov/local/town.php?t=Wade,,,,,Aroostook
Aroostook,Wallagrass,Facebook,https://www.facebook.com/townofwallagrass/,,,,,Aroostook
Aroostook,Washburn,election,https://www.washburnmaine.org/municipal-departments/elections-voting/,,,,,Aroostook
Aroostook,Westfield,contact info,https://www.maine.gov/local/town.php?t=Westfield,,,,,Aroostook
Aroostook,Westmanland,contact info,https://www.maine.gov/local/town.php?t=Westmanland,,,,,Aroostook
Aroostook,Weston,town,https://townofwestonnet.ipower.com/,,,,,Aroostook
Aroostook,Winterville Plantation,contact info,https://www.maine.gov/local/town.php?t=Winterville%20Plt,,,,,Aroostook
Aroostook,Woodland,town,https://www.townofwoodland.org/,,,,,Aroostook
Cumberland,Baldwin,town,https://www.baldwinmaine.org/,,,,,Cumberland
Cumberland,Bridgton,election,https://bridgtonmaine.org/elections/,,,,,Cumberland
Cumberland,Brunswick,election,http://www.brunswickme.org/286/Elections,Town Hall - near front door,,,,Cumberland
Cumberland,Cape Elizabeth,election,https://www.capeelizabeth.com/departments/TownClerkOffice/ElectionsVoting,,,,,Cumberland
Cumberland,Casco,town,https://www.cascomaine.org/,,,,,Cumberland
Cumberland,Chebeague Island,town,https://www.townofchebeagueisland.org/index.asp?SEC=B2029461-C627-4F96-935B-2F581C655FFA&Type=B_BASIC,,,,,Cumberland
Cumberland,Cumberland,election,https://www.cumberlandmaine.com/election,,,,,Cumberland
Cumberland,Falmouth,election,https://www.falmouthme.org/town-clerk/pages/election-information,"Town Hall - in the front, to left of the main entrance",,,,Cumberland
Cumberland,Freeport,election,https://www.freeportmaine.com/town-clerk/pages/election-services,Town Hall - outside the main entrance at 30 Main Street before Election Day. Ballots returned on Election Day must be returned in person to the high school gym at 30 Holbrook Street.,,,,Cumberland
Cumberland,Frye Island,town,http://www.fryeisland.com/,,,,,Cumberland
Cumberland,Gorham,election,https://www.gorham-me.org/town-clerk/pages/election-voting-information,Municipal Center,,,,Cumberland
Cumberland,Gray,election,https://www.graymaine.org/elections,Town Hall - front door,,,,Cumberland
Cumberland,Harpswell,election,https://www.harpswell.maine.gov/index.asp?SEC=49346E07-DA84-4C68-BD02-EAC23C5B5A18&Type=B_BASIC,Town Office - in front,,,,Cumberland
Cumberland,Harrison,election,https://www.harrisonmaine.org/index.asp?SEC=4CAFBDBB-36BE-4517-948F-BA6571E11ADE&DE=84D5F5E9-5D93-49A4-8E88-3F66B3086CB6&Type=B_BASIC,,,,,Cumberland
Cumberland,Long Island,election,http://townoflongisland.us/wp/?page_id=181,,,,,Cumberland
Cumberland,Naples,town,https://www.townofnaples.org/index.asp?SEC=66A4DD28-4C0C-443B-876C-2D418D5B1EAB,,,,,Cumberland
Cumberland,New Gloucester,election,https://www.newgloucester.com/index.asp?Type=B_BASIC&SEC={AB7D0D21-9C89-4C15-9D6F-DE687764863E},,,,,Cumberland
Cumberland,North Yarmouth,election,https://www.northyarmouth.org/town-clerk/pages/elections-voter-registration,Town Office - inside,,,,Cumberland
Cumberland,Portland,election,https://www.portlandmaine.gov/172/Elections-Voting,Merrill Auditorium lobby,,,,Cumberland
Cumberland,Pownal,election,https://www.pownalmaine.org/index.asp?Type=B_LIST&SEC={3290832E-1DCD-43A2-B2C3-331F9445751F},Town Office - inside,,,,Cumberland
Cumberland,Raymond,election,https://www.raymondmaine.org/town-office/voters/elections,,,,,Cumberland
Cumberland,Scarborough,election,https://www.scarboroughmaine.org/departments/town-clerk/elections/,,,,,Cumberland
Cumberland,Sebago,town,https://www.townofsebago.org/,,,,,Cumberland
Cumberland,South Portland,election,https://www.southportland.org/departments/city-clerk/elections-voter-registration/,,,,,Cumberland
Cumberland,Standish,election,https://www.standish.org/town-clerk/pages/election-general-information,,,,,Cumberland
Cumberland,Westbrook,election,https://www.westbrookmaine.com/181/Elections-Voting,In front of City Hall at 2 York Street,,,,Cumberland
Cumberland,Windham,election,http://www.windhammaine.us/125/Voter-Information,,,,,Cumberland
Cumberland,Yarmouth,election,https://yarmouth.me.us/elections,Town Hall or Voting Place - inside,,,,Cumberland
Franklin,Avon,contact info,https://www.maine.gov/local/town.php?t=Avon,,,,,Franklin
Franklin,Carrabassett Valley,town,http://www.carrabassettvalley.org/,,,,,Franklin
Franklin,Carthage,contact info,https://www.maine.gov/local/town.php?t=Carthage,,,,,Franklin
Franklin,Chesterville,town,https://www.townofchesterville.me/,,,,,Franklin
Franklin,Coplin Plantation,contact info,https://www.maine.gov/local/town.php?t=Coplin%20Plt,,,,,Franklin
Franklin,Dallas Plantation,election,https://dallasplantation.com/government/voter-registration/,,,,,Franklin
Franklin,Eustis,election,https://eustismaine.org/departments/registrar-of-voters/,,,,,Franklin
Franklin,Farmington,election,https://www.farmington-maine.org/voting-and-elections,,,,,Franklin
Franklin,Industry,election,https://www.townofindustry.com/elections,,,,,Franklin
Franklin,Jay,town,http://www.jay-maine.org/,,,,,Franklin
Franklin,Kingfield,election,http://www.kingfield.me/1005-2/,,,,,Franklin
Franklin,New Sharon,town,https://www.newsharon.maine.gov/,,,,,Franklin
Franklin,New Vineyard,town,http://www.newvineyardme.org/,,,,,Franklin
Franklin,Phillips,contact info,https://www.maine.gov/local/town.php?t=Phillips,,,,,Franklin
Franklin,Rangeley,election,https://townofrangeley.com/185/Elections-Voter-Registration,,,,,Franklin
Franklin,Rangeley Plantation,contact info,https://www.maine.gov/local/town.php?t=Rangeley%20Plt,,,,,Franklin
Franklin,Sandy River Plantation,contact info,https://www.maine.gov/local/town.php?t=Sandy%20River%20Plt,,,,,Franklin
Franklin,Strong,town,http://strongmaine.com/,,,,,Franklin
Franklin,Temple,town,https://townoftemple.org/?fbclid=IwAR3pyJXsu2LQvxIpDx2paoXqPwlFMHMfraJdB9IMHMspf1bhzCWqyWkeaqo,,,,,Franklin
Franklin,Weld,town,http://www.weld-maine.org/,,,,,Franklin
Franklin,Wilton,town,http://www.wiltonmaine.org,,,,,Franklin
Hancock,Amherst,town,http://amherstmaine.org/,,,,,Hancock
Hancock,Aurora,contact info,https://www.maine.gov/local/town.php?t=Aurora,,,,,Hancock
Hancock,Bar Harbor,election,http://www.barharbormaine.gov/130/Elections---General-Info,,,,,Hancock
Hancock,Blue Hill,election,https://bluehillme.gov/town-services/clerk-services/elections-voting/,,,,,Hancock
Hancock,Brooklin,town,https://www.brooklinmaine.com/,,,,,Hancock
Hancock,Brooksville,town,https://www.brooksvillemaine.org/,,,,,Hancock
Hancock,Bucksport,election,https://www.bucksportmaine.gov/services/clerk___registrar_of_voters/elections.php,,,,,Hancock
Hancock,Castine,town,https://castine.me.us/,Front doors of Emerson Hall,,,,Hancock
Hancock,Cranberry Isles,town,https://www.cranberryisles-me.gov/,,,,,Hancock
Hancock,Dedham,election,https://www.dedhamme.org/index.asp?SEC=F6196C83-D62F-40DC-BF35-13F815190E14&Type=B_BASIC,,,,,Hancock
