Office,Dist,County,Party,LastName,FirstName,MiddleName,Suffix,Contested,ballotpedia,website,website_text,comparison,comparison_text
State House of Representatives,54,,D,Tepler,Denise,A.,,N,https://ballotpedia.org/Denise_Tepler,,,,
State House of Representatives,55,,D,Berry,Seth,A.,,N,https://ballotpedia.org/Seth_Berry,,,,
State House of Representatives,55,,R,Lewis,Peter,A.,,N,https://ballotpedia.org/Peter_Lewis_(Maine),,,,
State House of Representatives,56,,D,Gaiason,Scott,N.,,N,https://ballotpedia.org/Scott_Gaiason,,,,
State House of Representatives,56,,R,Mason,Richard,G.,,N,https://ballotpedia.org/Richard_Mason,,,,
State House of Representatives,57,,D,Fogg,Patricia,A.,,N,https://ballotpedia.org/Patricia_Fogg,,,,
State House of Representatives,57,,R,Martin,Thomas,H.,Jr.,N,https://ballotpedia.org/Thomas_Martin_Jr.,,,,
State House of Representatives,58,,R,Connor,Jonathan,M.,,N,https://ballotpedia.org/Jonathan_Connor,,,,
State House of Representatives,58,,D,Handy,James,R.,,N,https://ballotpedia.org/James_Handy,,,,
State House of Representatives,59,,D,Craven,Margaret,M.,,N,https://ballotpedia.org/Margaret_Craven,,,,
State House of Representatives,59,,R,Reeder,John,D.,,N,https://ballotpedia.org/John_Reeder,,,,
State House of Representatives,60,,D,Cloutier,Kristen,Sarah,,N,https://ballotpedia.org/Kristen_Cloutier,,,,
State House of Representatives,60,,R,Morrison,John,H.,,N,https://ballotpedia.org/John_Morrison_(Maine),,,,
State House of Representatives,61,,D,Brooks,Heidi,Eileen,,N,https://ballotpedia.org/Heidi_Brooks,,,,
State House of Representatives,61,,R,Morin,Christopher,L.,,N,https://ballotpedia.org/Christopher_Morin,,,,
State House of Representatives,62,,R,Cyr,James,A.,,N,https://ballotpedia.org/James_Cyr_(Maine),,,,
State House of Representatives,62,,D,Melaragno,Gina,M.,,N,https://ballotpedia.org/Gina_Melaragno,,,,
State House of Representatives,63,,R,Bickford,Bruce,A.,,N,https://ballotpedia.org/Bruce_Bickford,,,,
State House of Representatives,63,,D,Gautier,Patricia,M.,,N,https://ballotpedia.org/Patricia_Gautier,,,,
State House of Representatives,64,,R,Libby,Laurel,D.,,N,https://ballotpedia.org/Laurel_Libby,,,,
State House of Representatives,64,,D,Sheats,Bettyann,Watson,,N,https://ballotpedia.org/Bettyann_Sheats,,,,
State House of Representatives,65,,R,Arata,Amy,B.,,N,https://ballotpedia.org/Amy_Arata,,,,
State House of Representatives,65,,D,Coolidge,Misty,L.,,N,https://ballotpedia.org/Misty_Coolidge,,,,
State House of Representatives,66,,D,Fay,Jessica,L.,,N,https://ballotpedia.org/Jessica_Fay,,,,
State House of Representatives,66,,R,Foster,Gregory,E.,,N,https://ballotpedia.org/Gregory_Foster,,,,
State House of Representatives,67,,D,Accardi,Susan,Ann,,N,https://ballotpedia.org/Susan_Accardi,,,,
State House of Representatives,67,,R,Austin,Susan,M.,,N,https://ballotpedia.org/Susan_Austin,,,,
State House of Representatives,68,,R,Cebra,Richard,M.,,N,https://ballotpedia.org/Richard_Cebra,,,,
State House of Representatives,69,,R,Davis,Michael,J.,,N,https://ballotpedia.org/Michael_J._Davis_(Maine),,,,
State House of Representatives,70,,D,Burnett,Nathan,Robert Leigh,,N,https://ballotpedia.org/Nathan_Burnett,,,,
State House of Representatives,70,,R,Wadsworth,Nathan,J.,,N,https://ballotpedia.org/Nathan_Wadsworth,,,,
State House of Representatives,71,,R,Millett,H.,Sawin,Jr.,N,https://ballotpedia.org/Sawin_Millett_Jr.,,,,
State House of Representatives,71,,D,Morse,Kenneth,,,N,https://ballotpedia.org/Kenneth_Morse,,,,
State House of Representatives,72,,D,Blastow,Jennifer,Rebecca,,N,https://ballotpedia.org/Jennifer_Blastow,,,,
State House of Representatives,72,,R,Dillingham,Kathleen,Rose Jackson,,N,https://ballotpedia.org/Kathleen_Jackson_Dillingham,,,,
State House of Representatives,73,,R,Andrews,John,E.,,N,https://ballotpedia.org/John_Andrews_(Maine),,,,
State House of Representatives,73,,D,Woodburn,Joshua,Charles,,N,https://ballotpedia.org/Joshua_Woodburn,,,,
State House of Representatives,74,,R,Lyman,Sheila,A.,,N,https://ballotpedia.org/Sheila_Lyman,,,,
State House of Representatives,74,,D,Riley,Christina,,,N,https://ballotpedia.org/Christina_Riley,,,,
State House of Representatives,75,,R,Morris,Joshua,K.,,N,https://ballotpedia.org/Joshua_Morris,,,,
State House of Representatives,75,,D,Nutting,John,M.,,N,https://ballotpedia.org/John_Nutting,,,,
State House of Representatives,76,,D,Emery,Deborah,Foss,,N,https://ballotpedia.org/Deborah_Emery,,,,
State House of Representatives,76,,R,Keschl,Dennis,L.,,N,https://ballotpedia.org/Dennis_Keschl,,,,
State House of Representatives,77,,D,Menair,Marion,Suzanne,,N,https://ballotpedia.org/Marion_Menair,,,,
State House of Representatives,77,,R,Perkins,Michael,Dana,,N,https://ballotpedia.org/Michael_Perkins_(Maine),,,,
State House of Representatives,78,,R,Nadeau,Cathy,R.,,N,https://ballotpedia.org/Cathy_Nadeau_(Maine_State_House_candidate),,,,
State House of Representatives,78,,D,Caron,Raymond,R.,,N,https://ballotpedia.org/Raymond_Caron,,,,
State House of Representatives,79,,D,Harwath,Lindsey,Danielle,,N,https://ballotpedia.org/Lindsey_Harwath,,,,
State House of Representatives,79,,R,Theriault,Timothy,S.,,N,https://ballotpedia.org/Timothy_Theriault,,,,
State House of Representatives,80,,R,Bradstreet,Richard,T.,,N,https://ballotpedia.org/Richard_Bradstreet,,,,
State House of Representatives,80,,D,Hallee,Gregory,Richard,,N,https://ballotpedia.org/Gregory_Hallee,,,,
State House of Representatives,81,,D,Hasenfus,Tavis,Rock,,Y,https://ballotpedia.org/Tavis_Hasenfus,https://www.facebook.com/tavis.hasenfus,Facebook page,,
State House of Representatives,81,,D,Mason,Joanne,L.,,Y,https://ballotpedia.org/Joanne_Mason,https://www.joannemasondistrict81.com/,Campaign website,,
State House of Representatives,81,,R,Pietroski,Joseph,J.,,N,https://ballotpedia.org/Joseph_Pietroski,,,,
State House of Representatives,82,,R,Greenwood,Randall,Adam,,Y,https://ballotpedia.org/Randall_Greenwood,https://www.facebook.com/GreenwoodForHouse/,Facebook page,,
State House of Representatives,82,,R,Matthews,Jeffrey,B.,,Y,https://ballotpedia.org/Jeffrey_Matthews,https://www.facebook.com/pages/category/Politician/Jeffrey-Matthews-Candidate-for-House-District-82-100798688192576/,Facebook page,,
State House of Representatives,83,,R,Coutts,Denis,Alan,,N,https://ballotpedia.org/Denis_Coutts,,,,
State House of Representatives,83,,D,Harnett,Thomas,A.,,N,https://ballotpedia.org/Thomas_Harnett,,,,
State House of Representatives,84,,R,Taylor,Scott,B.,,N,https://ballotpedia.org/Scott_Taylor_(Maine),,,,
State House of Representatives,84,,D,Warren,Charlotte,M.,,N,https://ballotpedia.org/Charlotte_Warren,,,,
State House of Representatives,85,,R,Clardy,William,L.,,N,https://ballotpedia.org/William_Clardy,,,,
State House of Representatives,85,,D,Doore,Donna,R.,,N,https://ballotpedia.org/Donna_Doore,,,,
State House of Representatives,86,,R,Fecteau,Justin,Jacob,,N,https://ballotpedia.org/Justin_Fecteau,,,,
State House of Representatives,86,,D,Turner,Adam,F.,,N,https://ballotpedia.org/Adam_Turner,,,,
State House of Representatives,87,,R,Hanley,Jeffrey,P.,,N,https://ballotpedia.org/Jeffery_Hanley,,,,
State House of Representatives,87,,D,Marks,Timothy,I.,,N,https://ballotpedia.org/Timothy_Marks,,,,
State House of Representatives,88,,R,Doyle,Elizabeth,Elaine,,Y,https://ballotpedia.org/Elizabeth_Doyle_(Maine),https://elizabethdoyledistrict88.com/,Campaign website,,
State House of Representatives,88,,D,Farrin,Wayne,K.,,Y,https://ballotpedia.org/Wayne_Farrin,https://lincolncountydemocrats.com/wayne-farrin-for-state-rep-2020/,Campaign website,,
State House of Representatives,88,,D,Hamilton,Christopher,C.,,Y,https://ballotpedia.org/Christopher_Hamilton,https://lincolncountydemocrats.com/chris-hamilton-for-state-rep-2020/,Campain website,,
State House of Representatives,88,,R,Lemelin,Michael,H.,,Y,https://ballotpedia.org/Michael_Lemelin,https://www.facebook.com/LemelinForMaineHouse88/,Facebook page,,
State House of Representatives,89,,R,Hawke,Stephanie,,,N,https://ballotpedia.org/Stephanie_Hawke,,,,
State House of Representatives,89,,D,Stover,Holly,B.,,N,https://ballotpedia.org/Holly_Stover,,,,
State House of Representatives,90,,D,Crafts,Lydia,V.,,Y,https://ballotpedia.org/Lydia_Crafts,https://www.lydiacrafts.com/,Campain website,https://lcnme.com/currentnews/democrats-to-decide-three-way-primary-in-house-district-90/,The Lincoln County News article
State House of Representatives,90,,D,Levesque,David,J.,,Y,https://ballotpedia.org/David_Levesque,https://levesque.mainecandidate.com/,Campain website,https://lcnme.com/currentnews/democrats-to-decide-three-way-primary-in-house-district-90/,The Lincoln County News article
State House of Representatives,90,,R,Parise,Merle,James,Jr.,N,https://ballotpedia.org/Merle_Parise,,,,
State House of Representatives,90,,D,Pieh,Wendy,,,Y,https://ballotpedia.org/Wendy_Pieh,https://www.facebook.com/wendy.pieh,Facebook page,https://lcnme.com/currentnews/democrats-to-decide-three-way-primary-in-house-district-90/,The Lincoln County News article
State House of Representatives,91,,R,Wallace,Lowell,B.,,N,https://ballotpedia.org/Lowell_Wallace,,,,
State House of Representatives,92,,R,Leparulo,Karry,,,N,https://ballotpedia.org/Karry_Leparulo,,,,
State House of Representatives,92,,D,Matlack,Ann,,,N,https://ballotpedia.org/Ann_Matlack,,,,
State House of Representatives,93,,D,Geiger,Valli,D.,,N,https://ballotpedia.org/Valli_Geiger,,,,
State House of Representatives,93,,R,Mullins,Michael,J.,,N,https://ballotpedia.org/Michael_Mullins_(Maine),,,,
State House of Representatives,94,,D,Doudera,Victoria,W.,,N,https://ballotpedia.org/Victoria_Doudera,,,,
State House of Representatives,95,,R,Luce,Molly,P.,,N,https://ballotpedia.org/Molly_Luce,,,,
State House of Representatives,96,,R,Smith,Katrina,J.,,N,https://ballotpedia.org/Katrina_Smith,,,,
State House of Representatives,96,,D,Zeigler,Stanley,Paige,Jr.,N,https://ballotpedia.org/Stanley_Zeigler,,,,
State House of Representatives,97,,R,Digioia,Matthew,M.,,N,https://ballotpedia.org/Matthew_Digioia,,,,
State House of Representatives,97,,D,Dodge,Janice,S.,,N,https://ballotpedia.org/Janice_Dodge,,,,
State House of Representatives,98,,R,Connor,Jessica,T.,,N,https://ballotpedia.org/Jessica_Connor,,,,
State House of Representatives,98,,D,Cuddy,Scott,William,,N,https://ballotpedia.org/Scott_Cuddy,,,,
State House of Representatives,99,,R,Kinney,MaryAnne,,,N,https://ballotpedia.org/MaryAnne_Kinney,,,,
State House of Representatives,99,,D,Turner,April,D.,,N,https://ballotpedia.org/April_Turner,,,,
State House of Representatives,100,,R,Costain,Danny,E.,,N,https://ballotpedia.org/Danny_Costain,,,,
State House of Representatives,100,,D,Payne,Carroll,E.,,N,https://ballotpedia.org/Carroll_Payne,,,,
State House of Representatives,101,,R,Haggan,David,,,N,https://ballotpedia.org/David_Haggan,,,,
State House of Representatives,101,,D,Lippincott,William,J.,,N,https://ballotpedia.org/William_Lippincott,,,,
State House of Representatives,102,,R,Griffin,Abigail,W.,,N,https://ballotpedia.org/Abigail_Griffin,,,,
State House of Representatives,103,,D,Russel,Robin,S.,,N,https://ballotpedia.org/Robin_Russel,,,,
State House of Representatives,103,,R,Thorne,James,E.,,N,https://ballotpedia.org/James_Thorne,,,,
State House of Representatives,104,,R,Foster,Steven,D.,,N,https://ballotpedia.org/Steven_Foster_(Maine),,,,
State House of Representatives,105,,D,Seavey,Wallace,A.,,N,https://ballotpedia.org/Wallace_Seavey,,,,
State House of Representatives,105,,R,Stetkis,Joel,R.,,N,https://ballotpedia.org/Joel_Stetkis,,,,
State House of Representatives,106,,D,Brownell,Ethan,S.,,N,https://ballotpedia.org/Ethan_Brownell,,,,
State House of Representatives,106,,R,Collamore,Amanda,Noelle,,N,https://ballotpedia.org/Amanda_Collamore,,,,
State House of Representatives,107,,D,Austin,Betty,A.,,N,https://ballotpedia.org/Betty_Austin,,,,
State House of Representatives,107,,R,Poirier,Jennifer,L.,,N,https://ballotpedia.org/Jennifer_Poirier,,,,
State House of Representatives,108,,D,Munson,Thomas,W.,,N,https://ballotpedia.org/Thomas_Munson,,,,
State House of Representatives,108,,R,Rudnicki,Shelley,J.,,N,https://ballotpedia.org/Shelley_Rudnicki,,,,
State House of Representatives,109,,R,Cohen,Edward,,,Y,https://ballotpedia.org/Edward_Cohen,,,,
State House of Representatives,109,,R,Foss,Richard,Andrew,Jr.,Y,https://ballotpedia.org/Richard_Foss,,,,
State House of Representatives,109,,D,White,Bruce,A.,,N,https://ballotpedia.org/Bruce_White,,,,
State House of Representatives,110,,D,Madigan,Colleen,M.,,N,https://ballotpedia.org/Colleen_Madigan,,,,
State House of Representatives,111,,R,Ducharme,John,E.,III,N,https://ballotpedia.org/John_Ducharme,,,,
State House of Representatives,112,,D,Bourgelais,Peter,M.,,Y,https://ballotpedia.org/Peter_Bourgelais,https://www.facebook.com/PeteBourgelais,Facebook page,,
State House of Representatives,112,,R,Skolfield,Thomas,H.,,N,https://ballotpedia.org/Thomas_Skolfield,,,,
State House of Representatives,112,,D,Soma-Hernandez,Cynthia,J.,,Y,https://ballotpedia.org/Cynthia_Soma-Hernandez,https://www.facebook.com/csomahernandez,Facebook page,,
State House of Representatives,113,,R,Bunker,Stephan,M.,,N,https://ballotpedia.org/Stephan_Bunker,,,,
State House of Representatives,113,,D,Landry,H.,Scott,Jr.,N,https://ballotpedia.org/H._Scott_Landry_Jr.,,,,
State House of Representatives,114,,R,Hall,Randall,C.,,N,https://ballotpedia.org/Randall_Hall,,,,
State House of Representatives,114,,D,Kimber,Gregory,M.,,N,https://ballotpedia.org/Gregory_Kimber,,,,
State House of Representatives,115,,R,Dolloff,Josanne,,,N,https://ballotpedia.org/Josanne_Dolloff,,,,
State House of Representatives,115,,D,Patrick,John,L.,,N,https://ballotpedia.org/John_Patrick,,,,
State House of Representatives,116,,D,Berryment,Christopher,S.,,N,https://ballotpedia.org/Christopher_Berryment,,,,
State House of Representatives,116,,R,Pickett,Richard,A.,,N,https://ballotpedia.org/Richard_Pickett,,,,
State House of Representatives,117,,R,Head,Frances,M.,,N,https://ballotpedia.org/Frances_Head,,,,
State House of Representatives,117,,D,Sessions,Savannah,Leah,,N,https://ballotpedia.org/Savannah_Sessions,,,,
State House of Representatives,118,,R,Grignon,Chad,Wayne,,N,https://ballotpedia.org/Chad_Grignon,,,,
State House of Representatives,119,,D,Contreni,Margarita,L.,,N,https://ballotpedia.org/Margarita_Contreni,,,,
State House of Representatives,119,,R,Stearns,Paul,A.,,N,https://ballotpedia.org/Paul_Stearns,,,,
State House of Representatives,120,,D,Evans,Richard,A.,,N,https://ballotpedia.org/Richard_Evans_(Maine),,,,
State House of Representatives,120,,R,Perkins,Chad,Richard,,N,https://ballotpedia.org/Chad_Perkins_(Maine),,,,
State House of Representatives,121,,R,Drinkwater,Gary,A.,,N,https://ballotpedia.org/Gary_Drinkwater,,,,
State House of Representatives,121,,D,Smith,Megan,L.,,N,https://ballotpedia.org/Megan_Smith_(Maine),,,,
State House of Representatives,122,,D,Dunphy,Michelle,A.,,N,https://ballotpedia.org/Michelle_Dunphy,,,,
State House of Representatives,122,,R,Paradis,Edward,L.,,N,https://ballotpedia.org/Edward_Paradis,,,,
State House of Representatives,123,,R,Bowie,Cameron,S.,,N,https://ballotpedia.org/Cameron_Bowie,,,,
State House of Representatives,123,,D,Gardner,Meghan,L.,,Y,https://ballotpedia.org/Meghan_Gardner,https://www.megforus.com/,Campaign website,,
State House of Representatives,123,,D,Osher,Laurie,,,Y,https://ballotpedia.org/Laurie_Osher,https://www.laurieosherfororono.com/,Campaign website,,
State House of Representatives,124,,R,LaPointe,Daniel,R.,,N,https://ballotpedia.org/Daniel_Lapointe,,,,
State House of Representatives,124,,D,Perry,Joseph,C.,Sr.,N,https://ballotpedia.org/Joseph_Perry_(Maine),,,,
State House of Representatives,125,,R,Herbert,Patrick,Joseph,,N,https://ballotpedia.org/Patrick_Herbert,,,,
State House of Representatives,125,,D,Huhn,Kenneth,J.,,Y,https://ballotpedia.org/Kenneth_Huhn,https://www.facebook.com/ken.huhn.9,Facebook page,,
State House of Representatives,125,,D,Roeder,Amy,J.,,Y,https://ballotpedia.org/Amy_Roeder,https://amyroeder.mainecandidate.com/?fbclid=IwAR2hA7KAsrVhArukigpQn5U4_OBiA8oQKPKkZ2b-ioxdJxgGO0zB9CsnSW0,Campaign website,,
State House of Representatives,126,,R,Hiatt,Joshua,Timothy,,N,https://ballotpedia.org/Joshua_Hiatt,,,,
State House of Representatives,126,,D,Supica,Laura,D.,,Y,https://ballotpedia.org/Laura_Supica,https://www.facebook.com/LauraSupicaforBangor/,Facebook page,,
State House of Representatives,126,,D,Sutton,Michael,Phillip,,Y,https://ballotpedia.org/Michael_Sutton,http://suttonformh126.com/,Campaign website,,
State House of Representatives,127,,D,Cardone,Barbara,A.,,N,https://ballotpedia.org/Barbara_Cardone,,,,
State House of Representatives,127,,R,Hall,Noah,James,,N,https://ballotpedia.org/Noah_Hall,,,,
State House of Representatives,128,,R,Craig,Garrel,R.,,N,https://ballotpedia.org/Garrel_Craig,,,,
State House of Representatives,128,,D,O'Connell,Kevin,J.M.,,N,https://ballotpedia.org/Kevin_O'Connell_(Maine),,,,
State House of Representatives,129,,R,Lyford,Peter,A.,,N,https://ballotpedia.org/Peter_Lyford,,,,
State House of Representatives,130,,D,Delli Paoli,Nicolas,,,N,https://ballotpedia.org/Nicolas_Delli_Paoli,,,,
State House of Representatives,130,,R,Downes,Kathy,L.,,N,https://ballotpedia.org/Kathy_Downes,,,,
State House of Representatives,131,,R,Hutchins,Sherman,,,N,https://ballotpedia.org/Sherman_Hutchins,,,,
State House of Representatives,131,,D,Magnan,Veronica,Garvey,,N,https://ballotpedia.org/Veronica_Magnan,,,,
State House of Representatives,132,,D,Grohoski,Nicole,C.,,N,https://ballotpedia.org/Nicole_Grohoski,,,,
State House of Representatives,132,,R,Kaplan,Michelle,Renee,,N,https://ballotpedia.org/Michelle_Kaplan,,,,
State House of Representatives,133,,D,Pebworth,Sarah,A.,,N,https://ballotpedia.org/Sarah_Pebworth,,,,
State House of Representatives,134,,D,Eaton,Julie,M.,,Y,https://ballotpedia.org/Julie_Eaton,https://www.facebook.com/JulieEatonForStateRep/,Facebook page,,
State House of Representatives,134,,D,McDonald,Genevieve,L.,,Y,https://ballotpedia.org/Genevieve_McDonald,https://www.facebook.com/mainehousedistrict134/,Facebook page,,
State House of Representatives,135,,G,Meiklejohn,Benjamin,J.,,N,https://ballotpedia.org/Benjamin_Meiklejohn,,,,
State House of Representatives,135,,R,Oh,Timothy,,,N,https://ballotpedia.org/Timothy_Oh,,,,
State House of Representatives,135,,D,Williams,Lynne,A.,,N,https://ballotpedia.org/Lynne_Williams,,,,
State House of Representatives,136,,D,Blasi,Antonio,,,N,https://ballotpedia.org/Antonio_Blasi,,,,
State House of Representatives,136,,R,Faulkingham,William,Robert,,N,https://ballotpedia.org/William_Faulkingham,,,,
State House of Representatives,137,,R,Carmichael,Meldon,H.,,N,https://ballotpedia.org/Meldon_Carmichael,,,,
State House of Representatives,137,,D,Coolidge,Maxwell,G.,,N,https://ballotpedia.org/Maxwell_Coolidge,,,,
State House of Representatives,138,,D,Alley,Robert,W.,Sr.,N,https://ballotpedia.org/Robert_Alley,,,,
State House of Representatives,138,,R,Robinson,Kimberley,Florence,,N,https://ballotpedia.org/Kimberley_Robinson,,,,
State House of Representatives,139,,D,Godin,Patricia,A.,,N,https://ballotpedia.org/Patricia_Godin,,,,
State House of Representatives,139,,R,Tuell,William,R.,,N,https://ballotpedia.org/William_Tuell,,,,
State House of Representatives,140,,R,Lawson,Michael,Dean,,N,https://ballotpedia.org/Michael_Lawson,,,,
State House of Representatives,140,,D,Perry,Anne,C.,,N,https://ballotpedia.org/Anne_Perry,,,,
State House of Representatives,141,,D,Green,Donald,M.,,N,https://ballotpedia.org/Donald_Green,,,,
State House of Representatives,141,,R,Javner,Kathy,,,N,https://ballotpedia.org/Kathy_Javner,,,,
State House of Representatives,142,,D,DiPentino,Natalie,D.,,N,https://ballotpedia.org/Natalie_DiPentino,,,,
State House of Representatives,142,,R,Gifford,Jeffery,A.,,N,https://ballotpedia.org/Jeffery_Gifford,,,,
State House of Representatives,143,,D,Pray,Charles,Patrick,,N,https://ballotpedia.org/Charles_Pray_(Maine),,,,
State House of Representatives,143,,R,Stanley,Peggy,Jo,,N,https://ballotpedia.org/Peggy_Stanley,,,,
State House of Representatives,144,,D,Harnish,Kathryn,Burke,,N,https://ballotpedia.org/Kathryn_Harnish,,,,
State House of Representatives,144,,R,Swallow,Gregory,L.,,N,https://ballotpedia.org/Gregory_Swallow,,,,
State House of Representatives,145,,R,Johansen,Chris,A.,,N,https://ballotpedia.org/Chris_Johansen,,,,
State House of Representatives,145,,D,Zabierek,Robert,Alvah,,N,https://ballotpedia.org/Robert_Zabierek,,,,
State House of Representatives,146,,D,Delong,Tammy,L.,,N,https://ballotpedia.org/Tammy_Delong,,,,
State House of Representatives,146,,R,White,Dustin,M.,,N,https://ballotpedia.org/Dustin_White,,,,
State House of Representatives,147,,D,Lavado,Lillie,N.,,N,https://ballotpedia.org/Lillie_Lavado,,,,
State House of Representatives,147,,R,Underwood,Joseph,F.,,N,https://ballotpedia.org/Joseph_Underwood,,,,
State House of Representatives,148,,D,McCrea,David,Harold,,N,https://ballotpedia.org/David_McCrea,,,,
State House of Representatives,148,,R,Redmond,Brian,J.,,N,https://ballotpedia.org/Brian_Redmond,,,,
State House of Representatives,149,,R,Bernard,Susan,,,Y,https://ballotpedia.org/Susan_Bernard,https://www.facebook.com/VoteBernardforME/,Facebook page,,
State House of Representatives,149,,R,Deveau,John,C.,,Y,https://ballotpedia.org/John_DeVeau,https://www.facebook.com/jd4149/,Facebook page,,
State House of Representatives,149,,D,White,David,G.,,N,https://ballotpedia.org/David_White_(Maine),,,,
State House of Representatives,150,,R,Cyr,Aaron,,,N,https://ballotpedia.org/Aaron_Cyr,,,,
State House of Representatives,150,,D,Martin,Roland,Daniel,,N,https://ballotpedia.org/Roland_Martin,,,,
State House of Representatives,151,,R,Bushey,Kevin,A.,,N,https://ballotpedia.org/Kevin_Bushey,,,,
State House of Representatives,151,,D,Martin,John,L.,,N,https://ballotpedia.org/John_L._Martin,,,,
County Judge of Probate,,Aroostook,D,Dunleavy,James,Patrick,,N,,,,,
County Judge of Probate,,Kennebec,D,Mitchell,Elizabeth,H.,,N,,,,,
County Judge of Probate,,Kennebec,R,Sullivan,Kevin,P.,,N,,,,,
County Judge of Probate,,Lincoln,D,Avantaggio,William,Munsell,,N,,,,,
County Judge of Probate,,Oxford,R,Crockett,Jarrod,S.,,N,,,,,
County Judge of Probate,,Piscataquis,R,Nessmann,Gerald,S.,,N,,,,,
County Judge of Probate,,Sagadahoc,R,Chipman,Richard,R.,,N,,,,,
County Judge of Probate,,Sagadahoc,D,Paris,David,,,N,,,,,
County Judge of Probate,,Waldo,D,Ociepka,Sean,Patrick,,N,,,,,
County Judge of Probate,,York,D,Houde,Scott,M.,,N,,,,,
County Register of Probate,,Androscoggin,D,Reynolds,Thomas,C.,,N,,,,,
County Register of Probate,,Cumberland,D,Daniels,Nadeen,M.,,N,,,,,
County Register of Probate,,Franklin,R,Jordan,Heidi,P.,,N,,,,,
County Register of Probate,,Hancock,R,Jordan,Velma,L.,,Y,,https://www.facebook.com/Elect-Velma-110145803893346/?ref=page_internal,Facebook page,,
County Register of Probate,,Hancock,R,Wilbur,Juliette,,,Y,,https://www.facebook.com/JulietteWilburforRegisterofProbate/,Facebook page,,
County Register of Probate,,Knox,R,Hallett,Elaine,Dostie,,N,,,,,
County Register of Probate,,Oxford,R,Dilworth,Jennifer,McPhee,,N,,,,,
County Register of Probate,,Penebscot,D,Stupak,Renee,M.,,N,,,,,
County Register of Probate,,Sagadahoc,D,Lawson-Stopps,Ruth,N.,,N,,,,,
County Register of Probate,,Sagadahoc,R,Littlefield,Catherina,P.J.,,N,,,,,
County Register of Probate,,Waldo,R,Peavey,Sharon,W.,,N,,,,,
County Register of Probate,,York,R,Lovejoy,Carol,J.,,N,,,,,
County Sheriff,,Franklin,R,Nichols,Scott,R.,,N,,,,,
County Sheriff,,Kennebec,D,Sayers,Michael,J.,,N,,,,,
County Sheriff,,Sagadahoc,D,Merry,Joel,A.,,N,,,,,
County Commissioner,1,Androscoggin,D,Madore,Noel,H.,,N,,,,,
County Commissioner,2,Androscoggin,D,Poirier,Roland,L.,,N,,,,,
County Commissioner,4,Androscoggin,R,Lary,Isaiah,N.,,N,,,,,
County Commissioner,6,Androscoggin,R,Kelly,Terri,D.,,N,,,,,
County Commissioner,2,Aroostook,R,Underwood,Paul,J.,,N,,,,,
County Commissioner,3,Aroostook,D,Fournier,Norman,L.,,N,,,,,
County Commissioner,1,Cumberland,D,Jamieson,Neil,D.,Jr.,N,,,,,
County Commissioner,1,Franklin,R,Brann,Terrance,E.,,N,,,,,
County Commissioner,1,Franklin,D,Maiuri,Tiffany,A.,,N,,,,,
County Commissioner,2,Franklin,D,Fowler,Fenwick,L.,,N,,,,,
County Commissioner,2,Franklin,R,Harvell,Lance,Evans,,N,,,,,
County Commissioner,1,Hancock,R,Clark,William,F.,,N,,,,,
County Commissioner,1,Hancock,D,Wentworth,Rebecca,,,N,,,,,
County Commissioner,3,Hancock,D,Schwartz,Ian,J.,,N,,,,,
County Commissioner,1,Kennebec,D,Crockett,Patsy,A.,,N,,,,,
County Commissioner,3,Kennebec,D,Jabar,George,M.,II,N,,,,,
County Commissioner,2,Knox,R,Parent,Richard,L,Jr.,N,,,,,
County Commissioner,3,Knox,D,Pohlman,Sharyn,L.,,N,,,,,
County Commissioner,1,Lincoln,R,Meserve,Hamilton,W.,,N,,,,,
County Commissioner,3,Lincoln,D,Langdon-Gray,Jane,C.,,Y,,https://www.linkedin.com/in/jane-langdon-gray-9175472b/,LinkedIn page,https://lcnme.com/currentnews/county-commissioner-faces-primary-challenge/,The Lincoln County News article
County Commissioner,3,Lincoln,D,Trescot,Mary,R.,,Y,,https://lincolncountydemocrats.com/mary-trescot-for-commissioner-2020/,Campaign website,https://lcnme.com/currentnews/county-commissioner-faces-primary-challenge/,The Lincoln County News article
County Commissioner,1,Oxford,R,Merrill,Steven,M.,,N,,,,,
County Commissioner,1,Penebscot,D,Baldacci,Peter,K.,,N,,,,,
County Commissioner,2,Penebscot,R,Cushing,Andre,E.,III,N,,,,,
County Commissioner,2,Penebscot,D,Todd,Donovan,E.,III,N,,,,,
County Commissioner,2,Piscataquis,R,Lynch,Gail,E.,,Y,,https://www.linkedin.com/in/gail-lynch-a3204672/,LinkedIn page,,
County Commissioner,2,Piscataquis,D,Myers,Patrick,W.,,N,,,,,
County Commissioner,2,Piscataquis,R,Shaffer,Charles,B.,,Y,,https://observer-me.com/2020/06/16/shaffer-announces-candidacy-for-county-commissioner/,The Piscataquis Oberver article,,
County Commissioner,2,Piscataquis,R,Torbett,Andrew,R.,,Y,,https://www.torbett4commissioner.com/,Campaign website,,
County Commissioner,3,Piscataquis,R,Erkkinen,Wayne,E.,,Y,,https://observer-me.com/2020/06/16/erkkinen-seeks-another-term-as-county-commissioner/,The Piscataquis Oberver article,,
County Commissioner,3,Piscataquis,R,Ward,Jenny,Lea,,Y,,https://www.linkedin.com/in/jenny-ward-0ba50979/,LinkedIn page,,
County Commissioner,1,Sagadahoc,D,Crosby,Charles,Earl,III,N,,,,,
County Commissioner,1,Sagadahoc,R,Lebida,Guy,M.,,N,,,,,
